Date : 2020-11-26 20:29:07
Directory : /home/zl/gem5/src
Total : 5618 files,  884122 codes, 252225 comments, 152980 blanks, all 1289327 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |      4,275 |    573,303 |    229,927 |    129,852 |    933,082 |
| Log      |        800 |    278,378 |          0 |     14,722 |    293,100 |
| Python   |        539 |     32,373 |     22,271 |      8,383 |     63,027 |
| Markdown |          1 |         43 |          0 |         13 |         56 |
| C        |          1 |         21 |         27 |          7 |         55 |
| HTML     |          1 |          4 |          0 |          2 |          6 |
| Jupyter  |          1 |          0 |          0 |          1 |          1 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                      |      5,618 |    884,122 |    252,225 |    152,980 |  1,289,327 |
| arch                                                                                                                                   |        740 |    220,730 |     38,209 |     35,175 |    294,114 |
| arch/arm                                                                                                                               |        175 |     55,435 |     11,038 |      7,874 |     74,347 |
| arch/arm/fastmodel                                                                                                                     |         33 |      4,257 |      1,240 |        723 |      6,220 |
| arch/arm/fastmodel/CortexA76                                                                                                           |          7 |      1,540 |        387 |        173 |      2,100 |
| arch/arm/fastmodel/GIC                                                                                                                 |          3 |        895 |        123 |         75 |      1,093 |
| arch/arm/fastmodel/common                                                                                                              |          1 |         39 |         26 |         15 |         80 |
| arch/arm/fastmodel/iris                                                                                                                |         12 |      1,328 |        411 |        314 |      2,053 |
| arch/arm/fastmodel/protocol                                                                                                            |          2 |        149 |         55 |         39 |        243 |
| arch/arm/freebsd                                                                                                                       |          6 |        592 |        275 |        126 |        993 |
| arch/arm/insts                                                                                                                         |         39 |     16,375 |      2,349 |      2,439 |     21,163 |
| arch/arm/kvm                                                                                                                           |         12 |      1,585 |        734 |        407 |      2,726 |
| arch/arm/linux                                                                                                                         |          7 |      1,741 |        508 |        230 |      2,479 |
| arch/arm/tracers                                                                                                                       |         11 |      2,339 |        769 |        366 |      3,474 |
| arch/gcn3                                                                                                                              |         16 |    119,421 |      4,407 |     17,963 |    141,791 |
| arch/gcn3/insts                                                                                                                        |          7 |    107,255 |      3,893 |     16,467 |    127,615 |
| arch/generic                                                                                                                           |         24 |      1,656 |      1,335 |        410 |      3,401 |
| arch/generic/freebsd                                                                                                                   |          1 |         20 |         31 |          9 |         60 |
| arch/generic/linux                                                                                                                     |          1 |        122 |         32 |         35 |        189 |
| arch/mips                                                                                                                              |         42 |      4,730 |      1,645 |      1,023 |      7,398 |
| arch/mips/linux                                                                                                                        |          7 |        614 |        224 |         72 |        910 |
| arch/null                                                                                                                              |          8 |         87 |        302 |         52 |        441 |
| arch/power                                                                                                                             |         45 |      2,623 |      1,653 |        710 |      4,986 |
| arch/power/insts                                                                                                                       |         14 |        770 |        523 |        263 |      1,556 |
| arch/power/linux                                                                                                                       |          4 |        585 |        129 |         51 |        765 |
| arch/riscv                                                                                                                             |         53 |      5,271 |      1,959 |        880 |      8,110 |
| arch/riscv/bare_metal                                                                                                                  |          2 |         68 |         55 |         22 |        145 |
| arch/riscv/insts                                                                                                                       |         13 |        516 |        378 |        152 |      1,046 |
| arch/riscv/linux                                                                                                                       |          4 |      1,077 |        145 |         77 |      1,299 |
| arch/sparc                                                                                                                             |         69 |      8,248 |      2,784 |      1,465 |     12,497 |
| arch/sparc/insts                                                                                                                       |         20 |      1,191 |        702 |        274 |      2,167 |
| arch/sparc/linux                                                                                                                       |          5 |        984 |        160 |         78 |      1,222 |
| arch/sparc/solaris                                                                                                                     |          4 |        436 |        116 |         49 |        601 |
| arch/x86                                                                                                                               |        305 |     21,148 |     12,392 |      4,265 |     37,805 |
| arch/x86/bios                                                                                                                          |         12 |      1,310 |        523 |        388 |      2,221 |
| arch/x86/insts                                                                                                                         |         15 |      1,003 |        591 |        166 |      1,760 |
| arch/x86/isa                                                                                                                           |        216 |      9,293 |      8,153 |      2,134 |     19,580 |
| arch/x86/isa/insts                                                                                                                     |        216 |      9,293 |      8,153 |      2,134 |     19,580 |
| arch/x86/isa/insts/general_purpose                                                                                                     |         54 |      4,313 |      2,302 |        910 |      7,525 |
| arch/x86/isa/insts/general_purpose/arithmetic                                                                                          |          4 |        695 |        222 |        138 |      1,055 |
| arch/x86/isa/insts/general_purpose/compare_and_test                                                                                    |          7 |        941 |        298 |        176 |      1,415 |
| arch/x86/isa/insts/general_purpose/control_transfer                                                                                    |          7 |        478 |        379 |        138 |        995 |
| arch/x86/isa/insts/general_purpose/data_conversion                                                                                     |          7 |         48 |        267 |         17 |        332 |
| arch/x86/isa/insts/general_purpose/data_transfer                                                                                       |          5 |        740 |        208 |        146 |      1,094 |
| arch/x86/isa/insts/general_purpose/flags                                                                                               |          4 |         69 |        136 |         19 |        224 |
| arch/x86/isa/insts/general_purpose/input_output                                                                                        |          3 |        106 |        109 |         25 |        240 |
| arch/x86/isa/insts/general_purpose/rotate_and_shift                                                                                    |          3 |        447 |        102 |         80 |        629 |
| arch/x86/isa/insts/general_purpose/string                                                                                              |          6 |        180 |        224 |         51 |        455 |
| arch/x86/isa/insts/simd128                                                                                                             |         69 |      3,041 |      2,456 |        668 |      6,165 |
| arch/x86/isa/insts/simd128/floating_point                                                                                              |         33 |      1,504 |      1,148 |        326 |      2,978 |
| arch/x86/isa/insts/simd128/floating_point/arithmetic                                                                                   |         11 |        465 |        380 |         96 |        941 |
| arch/x86/isa/insts/simd128/floating_point/compare                                                                                      |          4 |        236 |        137 |         54 |        427 |
| arch/x86/isa/insts/simd128/floating_point/data_conversion                                                                              |          5 |        268 |        171 |         55 |        494 |
| arch/x86/isa/insts/simd128/floating_point/data_reordering                                                                              |          3 |        106 |        103 |         23 |        232 |
| arch/x86/isa/insts/simd128/floating_point/data_transfer                                                                                |          5 |        256 |        185 |         65 |        506 |
| arch/x86/isa/insts/simd128/floating_point/logical                                                                                      |          4 |        162 |        137 |         30 |        329 |
| arch/x86/isa/insts/simd128/integer                                                                                                     |         35 |      1,530 |      1,273 |        339 |      3,142 |
| arch/x86/isa/insts/simd128/integer/arithmetic                                                                                          |          7 |        460 |        239 |         84 |        783 |
| arch/x86/isa/insts/simd128/integer/compare                                                                                             |          3 |        181 |        103 |         35 |        319 |
| arch/x86/isa/insts/simd128/integer/data_conversion                                                                                     |          4 |         99 |        137 |         24 |        260 |
| arch/x86/isa/insts/simd128/integer/data_reordering                                                                                     |          5 |        255 |        171 |         53 |        479 |
| arch/x86/isa/insts/simd128/integer/data_transfer                                                                                       |          4 |        120 |        137 |         29 |        286 |
| arch/x86/isa/insts/simd128/integer/logical                                                                                             |          4 |         90 |        137 |         18 |        245 |
| arch/x86/isa/insts/simd128/integer/save_and_restore_state                                                                              |          3 |        102 |        169 |         31 |        302 |
| arch/x86/isa/insts/simd128/integer/shift                                                                                               |          4 |        210 |        145 |         62 |        417 |
| arch/x86/isa/insts/simd64                                                                                                              |         44 |        987 |      1,535 |        285 |      2,807 |
| arch/x86/isa/insts/simd64/floating_point                                                                                               |         12 |         80 |        428 |         34 |        542 |
| arch/x86/isa/insts/simd64/floating_point/arithmetic                                                                                    |          7 |         59 |        248 |         22 |        329 |
| arch/x86/isa/insts/simd64/floating_point/compare                                                                                       |          3 |         11 |        108 |          7 |        126 |
| arch/x86/isa/insts/simd64/integer                                                                                                      |         31 |        900 |      1,072 |        248 |      2,220 |
| arch/x86/isa/insts/simd64/integer/arithmetic                                                                                           |          7 |        329 |        240 |         84 |        653 |
| arch/x86/isa/insts/simd64/integer/compare                                                                                              |          3 |        131 |        103 |         35 |        269 |
| arch/x86/isa/insts/simd64/integer/data_reordering                                                                                      |          5 |        152 |        172 |         42 |        366 |
| arch/x86/isa/insts/simd64/integer/data_transfer                                                                                        |          4 |         69 |        139 |         21 |        229 |
| arch/x86/isa/insts/simd64/integer/logical                                                                                              |          4 |         62 |        137 |         18 |        217 |
| arch/x86/isa/insts/simd64/integer/shift                                                                                                |          4 |        134 |        137 |         38 |        309 |
| arch/x86/isa/insts/system                                                                                                              |          7 |        304 |        269 |         50 |        623 |
| arch/x86/isa/insts/x87                                                                                                                 |         40 |        524 |      1,481 |        186 |      2,191 |
| arch/x86/isa/insts/x87/arithmetic                                                                                                      |          9 |        225 |        319 |         66 |        610 |
| arch/x86/isa/insts/x87/compare_and_test                                                                                                |          6 |         26 |        221 |         16 |        263 |
| arch/x86/isa/insts/x87/control                                                                                                         |          7 |         69 |        295 |         31 |        395 |
| arch/x86/isa/insts/x87/data_transfer_and_conversion                                                                                    |          7 |        108 |        257 |         32 |        397 |
| arch/x86/isa/insts/x87/load_constants                                                                                                  |          3 |         39 |        105 |         16 |        160 |
| arch/x86/isa/insts/x87/stack_management                                                                                                |          3 |         11 |        106 |          7 |        124 |
| arch/x86/isa/insts/x87/transcendental_functions                                                                                        |          3 |         31 |        108 |         13 |        152 |
| arch/x86/linux                                                                                                                         |          6 |      1,266 |        262 |        139 |      1,667 |
| arch/x86/regs                                                                                                                          |          8 |      1,235 |        391 |        217 |      1,843 |
| base                                                                                                                                   |        147 |     18,323 |     10,302 |      4,680 |     33,305 |
| base/filters                                                                                                                           |         14 |        823 |        500 |        263 |      1,586 |
| base/gtest                                                                                                                             |          1 |         38 |         32 |         13 |         83 |
| base/loader                                                                                                                            |         16 |      1,280 |        592 |        331 |      2,203 |
| base/stats                                                                                                                             |          9 |      1,283 |        591 |        338 |      2,212 |
| base/vnc                                                                                                                               |          5 |        846 |        383 |        255 |      1,484 |
| cpu                                                                                                                                    |        295 |     50,747 |     24,412 |     13,848 |     89,007 |
| cpu/checker                                                                                                                            |          4 |      1,644 |        404 |        325 |      2,373 |
| cpu/kvm                                                                                                                                |         15 |      3,542 |      2,194 |        952 |      6,688 |
| cpu/minor                                                                                                                              |         30 |      7,167 |      3,065 |      1,977 |     12,209 |
| cpu/o3                                                                                                                                 |         71 |     16,702 |      7,518 |      4,893 |     29,113 |
| cpu/o3/probe                                                                                                                           |          6 |        784 |        782 |        166 |      1,732 |
| cpu/pred                                                                                                                               |         45 |      7,576 |      2,849 |      1,645 |     12,070 |
| cpu/simple                                                                                                                             |         16 |      2,998 |      1,078 |        804 |      4,880 |
| cpu/simple/probes                                                                                                                      |          3 |        131 |        145 |         38 |        314 |
| cpu/testers                                                                                                                            |         53 |      3,967 |      2,933 |      1,191 |      8,091 |
| cpu/testers/directedtest                                                                                                               |          9 |        392 |        300 |        112 |        804 |
| cpu/testers/garnet_synthetic_traffic                                                                                                   |          3 |        351 |        129 |         81 |        561 |
| cpu/testers/memtest                                                                                                                    |          3 |        322 |        170 |        103 |        595 |
| cpu/testers/rubytest                                                                                                                   |          7 |        709 |        309 |        180 |      1,198 |
| cpu/testers/traffic_gen                                                                                                                |         31 |      2,193 |      2,025 |        715 |      4,933 |
| cpu/trace                                                                                                                              |          3 |      1,312 |      1,007 |        360 |      2,679 |
| dev                                                                                                                                    |        284 |     50,049 |     22,618 |     11,628 |     84,295 |
| dev/arm                                                                                                                                |         98 |     23,003 |      7,721 |      5,621 |     36,345 |
| dev/hsa                                                                                                                                |         14 |      2,821 |      5,026 |        636 |      8,483 |
| dev/i2c                                                                                                                                |          4 |        226 |        248 |         67 |        541 |
| dev/mips                                                                                                                               |          9 |        541 |        418 |        180 |      1,139 |
| dev/net                                                                                                                                |         35 |     10,459 |      2,612 |      2,123 |     15,194 |
| dev/pci                                                                                                                                |         12 |      2,027 |        892 |        391 |      3,310 |
| dev/ps2                                                                                                                                |         11 |        788 |        514 |        173 |      1,475 |
| dev/serial                                                                                                                             |         13 |        804 |        613 |        230 |      1,647 |
| dev/sparc                                                                                                                              |          9 |        775 |        331 |        195 |      1,301 |
| dev/storage                                                                                                                            |         13 |      2,615 |        681 |        507 |      3,803 |
| dev/virtio                                                                                                                             |         15 |      1,761 |      1,420 |        523 |      3,704 |
| dev/x86                                                                                                                                |         28 |      2,036 |        843 |        356 |      3,235 |
| doxygen                                                                                                                                |          3 |         23 |        167 |         35 |        225 |
| gpu-compute                                                                                                                            |         69 |     13,208 |      5,091 |      2,922 |     21,221 |
| kern                                                                                                                                   |         17 |      1,037 |        702 |        244 |      1,983 |
| kern/freebsd                                                                                                                           |          3 |        103 |        130 |         38 |        271 |
| kern/linux                                                                                                                             |          9 |        781 |        400 |        151 |      1,332 |
| kern/solaris                                                                                                                           |          1 |         60 |         47 |         14 |        121 |
| learning_gem5                                                                                                                          |         14 |        760 |        817 |        273 |      1,850 |
| learning_gem5/part2                                                                                                                    |         14 |        760 |        817 |        273 |      1,850 |
| mem                                                                                                                                    |        469 |     49,288 |     33,643 |     13,884 |     96,815 |
| mem/cache                                                                                                                              |        120 |     13,267 |     10,572 |      3,730 |     27,569 |
| mem/cache/compressors                                                                                                                  |         21 |      1,948 |      1,254 |        544 |      3,746 |
| mem/cache/prefetch                                                                                                                     |         35 |      3,958 |      2,350 |        887 |      7,195 |
| mem/cache/replacement_policies                                                                                                         |         23 |      1,023 |      1,419 |        373 |      2,815 |
| mem/cache/tags                                                                                                                         |         22 |      1,853 |      2,017 |        625 |      4,495 |
| mem/cache/tags/indexing_policies                                                                                                       |          7 |        302 |        517 |        107 |        926 |
| mem/probes                                                                                                                             |         12 |        397 |        495 |        136 |      1,028 |
| mem/protocol                                                                                                                           |          6 |        159 |        395 |         73 |        627 |
| mem/qos                                                                                                                                |         20 |      1,366 |      1,339 |        474 |      3,179 |
| mem/ruby                                                                                                                               |        148 |     15,554 |      6,830 |      3,656 |     26,040 |
| mem/ruby/common                                                                                                                        |         21 |      1,243 |        671 |        308 |      2,222 |
| mem/ruby/network                                                                                                                       |         66 |      6,384 |      2,873 |      1,564 |     10,821 |
| mem/ruby/network/fault_model                                                                                                           |          3 |        533 |        133 |         52 |        718 |
| mem/ruby/network/garnet                                                                                                                |         36 |      3,529 |      1,547 |        925 |      6,001 |
| mem/ruby/network/simple                                                                                                                |         12 |        992 |        481 |        268 |      1,741 |
| mem/ruby/profiler                                                                                                                      |          8 |      1,020 |        314 |        215 |      1,549 |
| mem/ruby/slicc_interface                                                                                                               |         11 |      1,026 |        534 |        222 |      1,782 |
| mem/ruby/structures                                                                                                                    |         20 |      2,090 |        959 |        470 |      3,519 |
| mem/ruby/system                                                                                                                        |         22 |      3,791 |      1,479 |        877 |      6,147 |
| mem/slicc                                                                                                                              |         67 |      4,141 |      2,319 |      1,168 |      7,628 |
| mem/slicc/ast                                                                                                                          |         47 |      1,419 |      1,374 |        485 |      3,278 |
| mem/slicc/generate                                                                                                                     |          4 |         86 |         92 |         21 |        199 |
| mem/slicc/symbols                                                                                                                      |         12 |      2,100 |        552 |        519 |      3,171 |
| proto                                                                                                                                  |          2 |        160 |        182 |         68 |        410 |
| python                                                                                                                                 |         44 |      7,244 |      2,751 |      1,784 |     11,779 |
| python/m5                                                                                                                              |         36 |      6,682 |      2,412 |      1,638 |     10,732 |
| python/m5/ext                                                                                                                          |          4 |        817 |        215 |        152 |      1,184 |
| python/m5/ext/pyfdt                                                                                                                    |          3 |        815 |        180 |        149 |      1,144 |
| python/m5/internal                                                                                                                     |          2 |          7 |         62 |          5 |         74 |
| python/m5/objects                                                                                                                      |          1 |         11 |         25 |          5 |         41 |
| python/m5/stats                                                                                                                        |          1 |        206 |        147 |         66 |        419 |
| python/m5/util                                                                                                                         |         15 |      1,976 |        750 |        484 |      3,210 |
| python/pybind11                                                                                                                        |          6 |        496 |        267 |        121 |        884 |
| sim                                                                                                                                    |        150 |     15,456 |     10,606 |      4,385 |     30,447 |
| sim/guest_abi                                                                                                                          |          4 |        304 |        279 |         91 |        674 |
| sim/power                                                                                                                              |         16 |        806 |        777 |        279 |      1,862 |
| sim/probe                                                                                                                              |          5 |        228 |        349 |         62 |        639 |
| systemc                                                                                                                                |      3,376 |    456,273 |    102,483 |     63,876 |    622,632 |
| systemc/channel                                                                                                                        |         10 |        673 |        262 |        140 |      1,075 |
| systemc/core                                                                                                                           |         48 |      6,203 |      1,553 |      1,465 |      9,221 |
| systemc/dt                                                                                                                             |         29 |     13,015 |      2,914 |      2,997 |     18,926 |
| systemc/dt/bit                                                                                                                         |          5 |        421 |        274 |         93 |        788 |
| systemc/dt/fx                                                                                                                          |         12 |      3,496 |        951 |        866 |      5,313 |
| systemc/dt/int                                                                                                                         |          9 |      8,989 |      1,575 |      2,004 |     12,568 |
| systemc/dt/misc                                                                                                                        |          2 |         89 |         88 |         29 |        206 |
| systemc/ext                                                                                                                            |        180 |     35,511 |      9,036 |      7,789 |     52,336 |
| systemc/ext/channel                                                                                                                    |         29 |      2,553 |        808 |        572 |      3,933 |
| systemc/ext/core                                                                                                                       |         19 |      1,813 |        576 |        473 |      2,862 |
| systemc/ext/dt                                                                                                                         |         57 |     24,237 |      4,978 |      5,175 |     34,390 |
| systemc/ext/dt/bit                                                                                                                     |         11 |      5,780 |        975 |      1,266 |      8,021 |
| systemc/ext/dt/fx                                                                                                                      |         23 |     10,764 |      1,822 |      2,190 |     14,776 |
| systemc/ext/dt/int                                                                                                                     |         15 |      6,941 |      1,718 |      1,531 |     10,190 |
| systemc/ext/dt/misc                                                                                                                    |          4 |        615 |        243 |        142 |      1,000 |
| systemc/ext/systemc_home                                                                                                               |         14 |         14 |        260 |         28 |        302 |
| systemc/ext/systemc_home/include                                                                                                       |         14 |         14 |        260 |         28 |        302 |
| systemc/ext/systemc_home/include/tlm_utils                                                                                             |         12 |         12 |        216 |         24 |        252 |
| systemc/ext/tlm_core                                                                                                                   |         37 |      2,680 |      1,369 |        737 |      4,786 |
| systemc/ext/tlm_core/1                                                                                                                 |         21 |      1,147 |        458 |        340 |      1,945 |
| systemc/ext/tlm_core/1/analysis                                                                                                        |          6 |        130 |        111 |         53 |        294 |
| systemc/ext/tlm_core/1/req_rsp                                                                                                         |         15 |      1,017 |        347 |        287 |      1,651 |
| systemc/ext/tlm_core/1/req_rsp/adapters                                                                                                |          1 |         65 |         18 |         18 |        101 |
| systemc/ext/tlm_core/1/req_rsp/channels                                                                                                |          7 |        673 |        175 |        176 |      1,024 |
| systemc/ext/tlm_core/1/req_rsp/channels/fifo                                                                                           |          5 |        501 |        129 |        137 |        767 |
| systemc/ext/tlm_core/1/req_rsp/channels/req_rsp_channels                                                                               |          2 |        172 |         46 |         39 |        257 |
| systemc/ext/tlm_core/1/req_rsp/interfaces                                                                                              |          4 |        173 |         96 |         56 |        325 |
| systemc/ext/tlm_core/1/req_rsp/ports                                                                                                   |          2 |         99 |         37 |         28 |        164 |
| systemc/ext/tlm_core/2                                                                                                                 |         16 |      1,533 |        911 |        397 |      2,841 |
| systemc/ext/tlm_core/2/generic_payload                                                                                                 |          6 |        985 |        474 |        221 |      1,680 |
| systemc/ext/tlm_core/2/interfaces                                                                                                      |          3 |        141 |        192 |         43 |        376 |
| systemc/ext/tlm_core/2/quantum                                                                                                         |          2 |         24 |         62 |         17 |        103 |
| systemc/ext/tlm_core/2/sockets                                                                                                         |          4 |        313 |        128 |         85 |        526 |
| systemc/ext/tlm_utils                                                                                                                  |         12 |      3,018 |        685 |        542 |      4,245 |
| systemc/ext/utils                                                                                                                      |         10 |      1,136 |        312 |        251 |      1,699 |
| systemc/python                                                                                                                         |          2 |         17 |         48 |         11 |         76 |
| systemc/tests                                                                                                                          |      3,077 |    397,024 |     87,553 |     50,602 |    535,179 |
| systemc/tests/include                                                                                                                  |         21 |      6,691 |      2,069 |      1,896 |     10,656 |
| systemc/tests/include/specialized_signals                                                                                              |          4 |      4,266 |      1,362 |      1,326 |      6,954 |
| systemc/tests/systemc                                                                                                                  |      3,000 |    383,824 |     84,448 |     47,628 |    515,900 |
| systemc/tests/systemc/1666-2011-compliance                                                                                             |         78 |      7,239 |      1,295 |      1,800 |     10,334 |
| systemc/tests/systemc/1666-2011-compliance/async_reset                                                                                 |          2 |        537 |         39 |         90 |        666 |
| systemc/tests/systemc/1666-2011-compliance/async_reset/golden                                                                          |          1 |          2 |          0 |          2 |          4 |
| systemc/tests/systemc/1666-2011-compliance/async_reset_port                                                                            |          2 |        288 |         30 |         59 |        377 |
| systemc/tests/systemc/1666-2011-compliance/async_reset_port/golden                                                                     |          1 |          2 |          0 |          2 |          4 |
